Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 18354,18354,6.1,6.5,6.8,6.5,6.6,6.7,6.8,6.5,6.4,6.3,6.6,6.0,6.5,6.7
ZCTA5 18355,18355,5.5,5.6,5.4,5.2,5.7,5.9,5.6,6.0,6.3,6.3,6.2,6.3,6.1,6.2
ZCTA5 18356,18356,5.1,5.4,5.0,4.8,4.7,4.6,4.7,4.8,4.5,4.7,4.5,4.4,4.4,4.8
ZCTA5 18357,18357,6.9,6.2,5.5,5.1,5.2,6.5,6.6,7.5,7.5,7.6,7.6,8.0,9.0+,9.0+
ZCTA5 18360,18360,6.1,6.2,6.1,6.0,6.1,6.1,6.1,6.1,6.1,6.0,6.1,6.1,6.0,6.1
ZCTA5 18370,18370,7.0,6.6,6.0,6.0,6.2,6.3,6.5,6.5,6.1,7.0,5.8,5.6,5.3,6.7
ZCTA5 18371,18371,6.5,6.2,5.6,5.8,5.7,6.2,6.1,6.2,6.2,7.0,6.6,6.8,6.6,5.7
ZCTA5 18372,18372,6.1,6.1,5.7,5.8,5.6,5.5,5.6,5.7,5.6,6.0,6.0,6.2,6.1,6.2
ZCTA5 18403,18403,6.1,6.0,6.1,6.3,6.3,6.3,6.2,6.3,6.3,6.1,6.2,6.2,6.1,6.2
ZCTA5 18405,18405,5.7,5.8,5.8,5.7,5.8,5.6,5.5,5.4,5.5,5.7,5.6,5.8,6.2,6.3
ZCTA5 18407,18407,6.0,6.1,6.1,6.0,6.0,6.0,6.0,6.1,6.0,6.0,6.0,6.0,5.9,5.9
ZCTA5 18411,18411,6.8,6.8,6.8,6.8,6.8,6.9,6.9,6.9,6.9,6.7,6.6,6.7,6.7,6.6
ZCTA5 18413,18413,6.9,7.3,6.8,5.1,4.8,5.2,5.2,4.6,4.4,4.3,-,-,7.2,7.0
ZCTA5 18414,18414,6.7,6.8,6.8,6.8,6.8,6.7,6.7,6.7,6.6,6.7,6.8,6.8,6.8,6.9
ZCTA5 18415,18415,5.8,5.8,5.9,6.0,6.4,6.5,6.1,6.6,6.4,6.7,6.5,6.5,6.3,6.2
ZCTA5 18417,18417,5.5,5.6,5.9,5.8,5.8,5.6,5.5,5.4,5.4,5.3,5.4,5.3,5.4,5.6
ZCTA5 18419,18419,5.9,5.9,5.9,5.8,5.8,5.8,5.9,5.9,5.9,6.1,6.0,6.1,6.1,6.2
ZCTA5 18420,18420,3.5,4.0,4.0,4.4,4.4,4.3,5.9,6.0,5.5,-,5.2,5.6,5.4,6.4
ZCTA5 18421,18421,6.1,6.1,6.1,6.0,6.1,6.1,6.2,6.2,6.3,6.3,6.4,6.3,6.1,6.1
ZCTA5 18424,18424,5.3,5.4,5.4,5.6,5.6,5.6,5.6,5.7,5.8,5.8,5.9,5.8,5.9,5.8
ZCTA5 18425,18425,6.1,6.1,5.9,6.0,5.9,5.6,5.2,5.1,5.2,5.5,5.6,5.9,5.9,5.8
ZCTA5 18426,18426,5.1,5.1,5.0,4.9,4.9,5.0,5.0,5.1,5.3,5.3,5.3,5.2,5.3,5.3
ZCTA5 18427,18427,4.5,4.4,4.2,4.0,4.0,4.0,5.0,-,-,-,,,,
