Geographic_Area_Name,zipCode,"Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2023","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2023",Total_Housing_Units!!Occupied_Units!!10_or_more_units_2022,Total_Housing_Units!!Occupied_Units!!10_or_more_units_2023,Total_Housing_Units!!Occupied_Units!!2-9_units_2022,Total_Housing_Units!!Occupied_Units!!2-9_units_2023,"Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2022","Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2023",Total_Housing_Units!!Occupied_Units_2022,Total_Housing_Units!!Occupied_Units_2023,"Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2023","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2023",Total_Housing_Units!!Vacant_Units!!10_or_more_units_2022,Total_Housing_Units!!Vacant_Units!!10_or_more_units_2023,Total_Housing_Units!!Vacant_Units!!2-9_units_2022,Total_Housing_Units!!Vacant_Units!!2-9_units_2023,Total_Housing_Units!!Vacant_Units!!mobile-home_2022,Total_Housing_Units!!Vacant_Units!!mobile-home_2023,Total_Housing_Units!!Vacant_Units_2022,Total_Housing_Units!!Vacant_Units_2023,Total_Housing_Units_2022,Total_Housing_Units_2023
ZCTA5 01562,01562,54,51,3140,3237,197,230,1665,1594,28,23,5084,5135,0,0,301,226,0,0,356,427,0,0,657,653,5741,5788
ZCTA5 01564,01564,305,268,2907,2740,58,53,191,222,0,0,3461,3283,0,0,16,15,0,0,0,0,0,0,16,15,3477,3298
ZCTA5 01566,01566,117,158,2080,2238,113,93,151,138,180,157,2641,2784,0,0,356,257,0,0,0,0,50,0,406,257,3047,3041
ZCTA5 01568,01568,48,60,2221,2391,80,139,310,288,0,0,2659,2878,0,0,112,69,0,0,0,0,0,0,112,69,2771,2947
ZCTA5 01569,01569,767,651,3265,3352,118,101,1186,1330,0,0,5336,5434,59,49,234,40,0,0,60,0,0,0,353,89,5689,5523
ZCTA5 01570,01570,363,311,3774,3804,512,521,2604,2800,58,32,7311,7468,55,54,502,313,0,47,339,329,0,0,896,743,8207,8211
ZCTA5 01571,01571,144,140,3124,3055,52,55,957,1005,0,0,4277,4255,0,0,89,31,0,0,0,9,0,0,89,40,4366,4295
ZCTA5 01581,01581,640,591,4112,4045,1985,2116,1225,1313,0,0,7962,8065,38,6,101,88,324,209,117,34,10,5,590,342,8552,8407
ZCTA5 01583,01583,345,343,1989,2093,201,211,292,267,0,0,2827,2914,0,0,50,32,0,0,18,0,0,0,68,32,2895,2946
ZCTA5 01585,01585,14,89,1652,1715,54,55,203,199,105,113,2028,2171,0,0,194,194,0,0,26,10,52,57,272,261,2300,2432
ZCTA5 01588,01588,605,678,1854,2047,411,343,1252,1282,0,0,4122,4350,142,67,46,61,73,75,20,0,0,0,281,203,4403,4553
ZCTA5 01590,01590,216,251,2794,2736,22,19,240,214,0,0,3272,3220,0,0,139,139,0,0,0,0,0,0,139,139,3411,3359
ZCTA5 01602,01602,545,472,5428,5437,1215,1125,2886,2893,31,25,10105,9952,20,20,107,167,50,89,203,255,0,0,380,531,10485,10483
ZCTA5 01603,01603,632,679,2753,2690,1036,1179,3464,3578,0,7,7885,8133,0,0,123,110,0,0,326,261,0,0,449,371,8334,8504
ZCTA5 01604,01604,1236,1226,5418,5485,3490,3422,6641,6616,26,26,16811,16775,0,34,273,242,268,308,817,807,0,0,1358,1391,18169,18166
ZCTA5 01605,01605,561,589,3014,3101,3099,2929,4939,5210,70,57,11683,11886,46,46,88,91,117,240,504,494,0,0,755,871,12438,12757
ZCTA5 01606,01606,1114,1019,5017,5264,751,684,1958,1788,178,173,9018,8928,57,19,129,151,61,57,285,272,0,0,532,499,9550,9427
ZCTA5 01607,01607,310,371,1155,1073,638,624,1524,1669,50,33,3677,3770,32,34,8,10,47,32,223,292,63,34,373,402,4050,4172
ZCTA5 01608,01608,101,92,73,32,1552,1547,511,528,16,15,2253,2214,0,0,19,0,271,351,9,0,0,0,299,351,2552,2565
ZCTA5 01609,01609,272,275,2592,2577,2256,2230,3416,3148,0,0,8536,8230,0,0,117,146,170,163,346,587,0,0,633,896,9169,9126
ZCTA5 01610,01610,295,274,674,705,2017,1952,6080,6311,16,17,9082,9259,0,45,172,78,145,147,732,734,0,0,1049,1004,10131,10263
ZCTA5 01611,01611,8,7,657,677,39,39,62,102,0,0,766,825,0,0,0,20,0,0,18,0,0,0,18,20,784,845
ZCTA5 01612,01612,41,48,1421,1440,40,41,109,104,0,0,1611,1633,0,0,59,82,0,0,18,12,0,0,77,94,1688,1727
ZCTA5 01701,01701,411,382,10184,9950,1890,1835,660,626,12,11,13157,12804,0,0,173,204,124,82,0,41,0,0,297,327,13454,13131
ZCTA5 01702,01702,1271,1158,4369,4444,5351,5311,3672,3734,20,18,14683,14665,44,11,70,88,382,285,180,254,0,0,676,638,15359,15303
ZCTA5 01718,01718,197,143,7,17,0,0,37,57,0,0,241,217,0,0,0,0,0,0,0,0,0,0,0,0,241,217
ZCTA5 01719,01719,101,80,1375,1484,610,581,80,65,0,0,2166,2210,0,0,0,33,0,36,30,0,0,0,30,69,2196,2279
ZCTA5 01720,01720,594,503,5676,5807,1769,1757,688,695,16,59,8743,8821,0,33,89,62,42,0,18,21,0,0,149,116,8892,8937
ZCTA5 01721,01721,1111,1101,4285,4162,943,946,1314,1364,0,0,7653,7573,0,0,312,288,50,54,146,80,0,0,508,422,8161,7995
ZCTA5 01730,01730,459,450,3524,3781,1021,940,666,691,0,0,5670,5862,52,41,68,29,48,0,89,38,0,0,257,108,5927,5970
ZCTA5 01731,01731,255,199,90,147,0,0,115,149,0,0,460,495,0,0,0,0,0,0,0,0,0,0,0,0,460,495
ZCTA5 01740,01740,37,71,1746,1834,27,21,72,64,0,0,1882,1990,0,0,123,93,0,0,0,0,0,0,123,93,2005,2083
ZCTA5 01741,01741,31,23,1663,1615,35,37,58,51,0,0,1787,1726,0,0,88,61,0,0,0,0,0,0,88,61,1875,1787
ZCTA5 01742,01742,339,331,4402,4508,1007,777,728,575,0,0,6476,6191,18,15,192,194,153,155,61,104,0,0,424,468,6900,6659
ZCTA5 01745,01745,28,14,140,204,0,0,45,32,0,0,213,250,0,0,0,0,0,0,0,0,0,0,0,0,213,250
ZCTA5 01746,01746,340,316,4425,4457,382,397,385,447,30,37,5562,5654,0,0,43,50,62,44,30,26,0,0,135,120,5697,5774
ZCTA5 01747,01747,536,499,1153,1192,72,93,410,387,0,0,2171,2171,54,55,75,94,0,0,0,0,0,0,129,149,2300,2320
ZCTA5 01748,01748,979,961,4847,4864,476,463,372,345,0,0,6674,6633,44,44,35,23,172,168,83,39,0,0,334,274,7008,6907
ZCTA5 01749,01749,578,584,4648,4661,1190,1297,1394,1251,245,248,8055,8041,22,0,119,135,176,206,188,178,0,0,505,519,8560,8560
ZCTA5 01752,01752,1327,1241,7577,7583,3646,3702,3506,3542,468,581,16524,16649,87,92,180,141,467,380,158,108,0,0,892,721,17416,17370
ZCTA5 01754,01754,302,360,2915,3001,379,516,811,786,9,10,4416,4673,0,0,58,58,128,77,51,37,0,0,237,172,4653,4845
ZCTA5 01756,01756,97,146,1901,1897,0,0,56,60,0,0,2054,2103,0,0,121,123,0,0,0,0,0,0,121,123,2175,2226
ZCTA5 01757,01757,1252,1092,6796,6622,1175,1080,2293,2598,12,18,11528,11410,72,0,101,132,109,43,214,248,0,0,496,423,12024,11833
ZCTA5 01760,01760,551,620,8828,8793,3301,3378,2786,2567,0,0,15466,15358,46,40,158,156,121,203,108,81,2,0,435,480,15901,15838
ZCTA5 01770,01770,50,78,1352,1326,31,32,78,76,0,0,1511,1512,0,0,121,63,0,0,0,0,0,0,121,63,1632,1575
ZCTA5 01772,01772,213,250,2889,2953,121,122,163,136,0,0,3386,3461,0,0,40,94,0,0,10,16,0,0,50,110,3436,3571
ZCTA5 01773,01773,268,254,1420,1506,234,254,203,180,0,0,2125,2194,54,60,114,154,0,0,0,0,0,0,168,214,2293,2408
ZCTA5 01775,01775,96,125,2085,2200,163,182,269,224,0,0,2613,2731,0,0,0,30,0,0,0,0,0,0,0,30,2613,2761
ZCTA5 01776,01776,439,507,5476,5364,148,241,260,215,0,0,6323,6327,26,26,83,93,0,0,0,0,0,0,109,119,6432,6446
ZCTA5 01778,01778,425,442,4132,4020,173,219,284,300,7,0,5021,4981,13,12,79,78,0,0,89,65,0,0,181,155,5202,5136
ZCTA5 01801,01801,1244,1452,8127,8115,3141,3329,3567,3446,42,18,16121,16360,44,43,116,74,186,157,360,348,0,0,706,622,16827,16982
ZCTA5 01803,01803,332,348,7060,7148,1792,1811,799,684,7,0,9990,9991,11,8,258,212,235,242,18,15,0,0,522,477,10512,10468
ZCTA5 01810,01810,646,634,9348,9125,1928,2060,1421,1404,18,56,13361,13279,0,0,365,379,119,67,44,78,0,0,528,524,13889,13803
ZCTA5 01821,01821,726,701,8488,8553,1654,1622,588,597,33,38,11489,11511,0,0,196,118,0,0,38,37,0,0,234,155,11723,11666
ZCTA5 01824,01824,364,368,7278,7203,1614,1613,472,417,182,267,9910,9868,0,0,212,239,62,117,97,64,0,13,371,433,10281,10301
ZCTA5 01826,01826,757,794,8453,8461,1363,1306,1616,1574,20,14,12209,12149,0,0,78,130,114,126,76,75,0,0,268,331,12477,12480
ZCTA5 01827,01827,11,13,1101,1093,0,0,23,29,0,0,1135,1135,0,0,15,32,0,0,0,0,0,0,15,32,1150,1167
ZCTA5 01830,01830,950,977,4178,4331,1715,1820,3623,3407,6,7,10472,10542,50,60,92,60,125,179,311,318,0,0,578,617,11050,11159
ZCTA5 01832,01832,1386,1296,4007,4092,1553,1631,3099,3253,15,34,10060,10306,93,68,71,101,99,36,215,224,0,0,478,429,10538,10735
ZCTA5 01833,01833,78,83,2577,2627,235,224,252,217,0,0,3142,3151,0,0,9,15,25,31,17,23,0,0,51,69,3193,3220
ZCTA5 01834,01834,284,301,2100,2104,48,101,181,166,0,0,2613,2672,0,0,0,0,0,0,37,84,0,0,37,84,2650,2756
ZCTA5 01835,01835,799,760,2734,2804,510,390,1401,1498,0,0,5444,5452,58,57,80,86,0,29,56,78,0,0,194,250,5638,5702
ZCTA5 01840,01840,128,133,35,16,2003,2172,941,978,0,0,3107,3299,0,0,9,10,79,85,29,21,0,0,117,116,3224,3415
ZCTA5 01841,01841,1326,1382,2954,3270,2026,1996,10551,10427,24,22,16881,17097,74,35,73,101,39,45,323,268,0,0,509,449,17390,17546
ZCTA5 01843,01843,889,904,2836,2872,1657,1915,4888,4866,72,56,10342,10613,0,0,110,62,68,68,273,225,0,0,451,355,10793,10968
ZCTA5 01844,01844,1382,1416,11818,11446,1778,2031,4054,3908,0,0,19032,18801,173,169,204,165,140,89,269,246,27,26,813,695,19845,19496
ZCTA5 01845,01845,1226,1155,6066,6437,2064,1971,1955,1947,0,11,11311,11521,14,7,185,186,205,171,151,125,0,0,555,489,11866,12010
ZCTA5 01850,01850,200,154,2513,2372,656,718,2452,2577,51,56,5872,5877,0,47,33,0,0,33,60,71,0,0,93,151,5965,6028
ZCTA5 01851,01851,833,1010,3689,3780,2166,2368,4665,4140,0,23,11353,11321,28,20,108,92,19,60,266,266,0,0,421,438,11774,11759
ZCTA5 01852,01852,957,965,4597,4504,5062,5288,3982,3959,96,93,14694,14809,13,0,106,111,89,80,278,363,0,0,486,554,15180,15363
ZCTA5 01854,01854,891,1123,2606,2491,2890,2788,4028,3974,9,0,10424,10376,103,95,87,86,195,204,247,199,0,0,632,584,11056,10960
ZCTA5 01860,01860,243,209,1578,1707,91,117,457,446,275,231,2644,2710,0,0,87,98,0,0,45,43,0,0,132,141,2776,2851
ZCTA5 01862,01862,387,384,2388,2459,751,864,410,380,181,160,4117,4247,0,0,0,0,0,0,42,0,33,16,75,16,4192,4263
ZCTA5 01863,01863,412,647,1976,1955,692,542,531,484,0,0,3611,3628,0,0,17,17,28,0,28,32,0,0,73,49,3684,3677
ZCTA5 01864,01864,302,291,4542,4472,749,779,197,260,61,54,5851,5856,0,0,0,37,65,27,0,0,0,0,65,64,5916,5920
ZCTA5 01867,01867,193,215,6941,6962,1304,1536,1054,874,0,0,9492,9587,0,0,117,116,108,101,24,91,0,0,249,308,9741,9895
ZCTA5 01876,01876,1661,1501,8044,8180,1636,1490,603,647,0,10,11944,11828,14,14,99,185,29,152,28,33,0,0,170,384,12114,12212
ZCTA5 01879,01879,500,502,2751,2954,371,327,313,276,110,123,4045,4182,76,94,91,41,0,0,0,57,0,0,167,192,4212,4374
ZCTA5 01880,01880,665,580,6139,6169,1500,1608,2570,2696,0,0,10874,11053,0,0,105,141,79,85,263,234,0,0,447,460,11321,11513
ZCTA5 01886,01886,701,810,6952,6963,565,662,382,369,6,10,8606,8814,0,0,228,302,20,29,27,36,0,0,275,367,8881,9181
ZCTA5 01887,01887,238,246,6842,6701,551,588,294,336,0,0,7925,7871,40,37,57,10,60,60,56,54,0,0,213,161,8138,8032
ZCTA5 01890,01890,622,589,5707,5708,824,885,887,844,26,28,8066,8054,0,0,70,162,0,0,65,67,0,0,135,229,8201,8283
ZCTA5 01901,01901,0,0,0,0,949,1004,127,153,0,0,1076,1157,0,0,0,0,66,108,31,24,0,0,97,132,1173,1289
ZCTA5 01902,01902,781,841,4878,4996,4944,5275,8172,7971,22,27,18797,19110,0,0,98,63,196,122,384,360,0,0,678,545,19475,19655
ZCTA5 01904,01904,90,82,5066,5249,874,719,1040,923,7,33,7077,7006,0,0,83,213,34,35,43,68,0,0,160,316,7237,7322
ZCTA5 01905,01905,538,492,3338,3453,1504,1565,3577,3545,8,0,8965,9055,0,0,137,128,61,62,286,338,0,0,484,528,9449,9583
ZCTA5 01906,01906,473,464,7161,7119,1157,1378,1832,1682,145,58,10768,10701,8,9,271,266,62,93,180,190,0,0,521,558,11289,11259
ZCTA5 01907,01907,307,333,3452,3389,966,1010,1590,1600,0,0,6315,6332,0,0,67,131,56,15,15,188,0,0,138,334,6453,6666
ZCTA5 01908,01908,41,33,1238,1250,82,67,265,254,0,0,1626,1604,0,0,135,130,42,44,22,32,0,0,199,206,1825,1810
ZCTA5 01913,01913,782,861,3670,3552,1585,1607,1551,1525,0,0,7588,7545,0,0,111,114,28,49,80,119,0,0,219,282,7807,7827
ZCTA5 01915,01915,600,632,8116,8291,3387,3209,4422,4375,45,61,16570,16568,15,12,176,233,228,314,328,191,0,0,747,750,17317,17318
ZCTA5 01921,01921,76,94,2487,2461,83,83,180,222,53,42,2879,2902,0,0,67,59,0,0,0,0,0,0,67,59,2946,2961
ZCTA5 01922,01922,256,236,886,942,11,0,12,13,44,62,1209,1253,0,0,0,0,0,0,0,0,0,0,0,0,1209,1253
ZCTA5 01923,01923,660,703,6555,6226,1950,2020,1882,1996,100,96,11147,11041,62,46,139,123,86,76,76,75,43,44,406,364,11553,11405
ZCTA5 01929,01929,175,97,929,880,12,12,254,328,0,0,1370,1317,0,0,200,210,0,0,0,0,0,0,200,210,1570,1527
ZCTA5 01930,01930,653,665,6588,6511,1301,1184,4706,4799,11,21,13259,13180,8,0,1048,957,40,20,275,473,0,0,1371,1450,14630,14630
ZCTA5 01937,01937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 01938,01938,567,664,3443,3504,397,359,1203,1230,0,0,5610,5757,56,68,392,316,44,46,51,83,0,0,543,513,6153,6270
ZCTA5 01940,01940,312,260,3714,3808,508,520,218,197,0,0,4752,4785,0,0,72,67,141,117,73,64,0,0,286,248,5038,5033
ZCTA5 01944,01944,67,158,1644,1550,29,15,361,489,0,0,2101,2212,0,0,47,45,0,0,43,24,0,0,90,69,2191,2281
ZCTA5 01945,01945,379,290,6090,6357,161,174,1531,1382,34,29,8195,8232,18,51,333,334,27,30,244,252,0,0,622,667,8817,8899
ZCTA5 01949,01949,462,462,2290,2375,135,177,269,302,36,0,3192,3316,9,0,106,97,44,37,0,0,0,0,159,134,3351,3450
ZCTA5 01950,01950,1061,1097,4009,4199,724,742,1797,1754,0,0,7591,7792,98,79,362,376,63,14,125,37,0,0,648,506,8239,8298
ZCTA5 01951,01951,243,257,970,995,56,24,23,51,0,8,1292,1335,0,0,460,396,0,0,0,0,0,0,460,396,1752,1731
ZCTA5 01952,01952,542,493,2231,2167,348,443,764,766,165,166,4050,4035,45,20,554,487,64,39,316,328,53,72,1032,946,5082,4981
ZCTA5 01960,01960,1047,1070,11595,11371,5124,5485,4256,3840,546,539,22568,22305,0,0,250,239,242,254,103,211,0,0,595,704,23163,23009
ZCTA5 01965,01965,0,0,303,325,0,0,36,22,0,0,339,347,0,0,0,0,0,0,0,0,0,0,0,0,339,347
ZCTA5 01966,01966,227,238,2228,2265,75,88,752,672,0,0,3282,3263,9,30,620,655,24,23,274,238,23,23,950,969,4232,4232
ZCTA5 01969,01969,288,269,1740,1757,140,197,208,205,0,0,2376,2428,0,0,17,0,0,0,0,0,0,0,17,0,2393,2428
ZCTA5 01970,01970,1405,1317,5205,5199,4211,4101,8968,9073,38,19,19827,19709,37,39,167,106,197,199,798,867,0,0,1199,1211,21026,20920
ZCTA5 01982,01982,69,84,2259,2295,72,72,252,268,0,0,2652,2719,0,0,109,69,42,77,25,27,0,0,176,173,2828,2892
ZCTA5 01983,01983,147,116,1801,1900,70,74,199,155,0,0,2217,2245,0,0,112,74,0,0,0,0,0,0,112,74,2329,2319
ZCTA5 01984,01984,80,66,1092,1054,6,38,147,157,0,0,1325,1315,0,0,75,75,0,0,0,0,0,0,75,75,1400,1390
ZCTA5 01985,01985,57,88,1517,1507,0,10,50,47,0,0,1624,1652,25,20,158,127,0,0,0,0,0,0,183,147,1807,1799
ZCTA5 02019,02019,513,480,4492,4698,577,556,634,515,54,40,6270,6289,0,0,292,239,38,0,26,27,0,0,356,266,6626,6555
ZCTA5 02021,02021,630,718,5648,5562,1939,2105,1405,1282,27,10,9649,9677,0,0,225,210,39,0,28,68,0,0,292,278,9941,9955
ZCTA5 02025,02025,105,105,2500,2608,119,113,383,283,0,0,3107,3109,0,0,145,153,38,38,0,0,0,0,183,191,3290,3300
ZCTA5 02026,02026,489,526,6834,6832,1564,1537,1522,1348,18,54,10427,10297,26,20,102,60,232,209,98,62,0,0,458,351,10885,10648
ZCTA5 02030,02030,30,22,1832,1863,0,0,25,27,0,0,1887,1912,28,28,40,11,0,0,0,0,0,0,68,39,1955,1951
ZCTA5 02032,02032,97,90,1183,1208,115,169,141,121,0,0,1536,1588,0,0,0,19,0,0,57,108,0,0,57,127,1593,1715
ZCTA5 02035,02035,404,339,4333,4553,661,560,1641,1534,173,183,7212,7169,0,0,58,55,43,81,110,109,0,0,211,245,7423,7414
ZCTA5 02038,02038,1174,1210,7955,8034,1369,1476,1627,1583,6,36,12131,12339,64,30,69,74,232,300,84,146,0,0,449,550,12580,12889
ZCTA5 02043,02043,352,413,6435,6526,1647,1758,734,804,62,57,9230,9558,0,0,275,311,87,132,43,58,0,0,405,501,9635,10059
ZCTA5 02045,02045,133,136,3284,3350,388,396,690,693,9,0,4504,4575,9,0,1021,835,191,171,106,152,0,0,1327,1158,5831,5733
ZCTA5 02047,02047,0,0,101,64,0,0,0,0,0,0,101,64,0,0,168,190,0,0,0,0,0,0,168,190,269,254
ZCTA5 02048,02048,396,528,5472,5398,1494,1526,1518,1528,0,0,8880,8980,0,0,22,43,125,103,140,102,0,0,287,248,9167,9228
ZCTA5 02050,02050,317,369,8307,8318,876,845,804,728,0,0,10304,10260,52,50,1346,1268,0,0,117,119,0,0,1515,1437,11819,11697
ZCTA5 02052,02052,170,176,3723,3769,308,313,262,301,0,0,4463,4559,0,0,120,120,0,0,0,0,0,0,120,120,4583,4679
ZCTA5 02053,02053,185,150,3738,3786,271,286,345,351,0,0,4539,4573,0,0,59,28,0,0,0,0,0,0,59,28,4598,4601
ZCTA5 02054,02054,333,298,2135,2369,264,292,440,424,0,0,3172,3383,20,0,32,45,48,60,85,92,0,0,185,197,3357,3580
ZCTA5 02056,02056,142,180,3014,3046,0,0,135,135,0,0,3291,3361,28,0,93,103,0,0,0,0,0,0,121,103,3412,3464
ZCTA5 02061,02061,85,92,3282,3260,86,132,87,85,67,74,3607,3643,0,0,103,96,0,0,0,0,0,0,103,96,3710,3739
ZCTA5 02062,02062,779,847,6047,6054,2642,2833,3578,3557,68,8,13114,13299,108,69,211,162,214,300,118,131,0,0,651,662,13765,13961
ZCTA5 02066,02066,448,511,6352,6399,347,307,389,380,0,9,7536,7606,58,59,328,336,28,31,0,0,0,0,414,426,7950,8032
ZCTA5 02067,02067,200,168,5294,5384,433,493,459,409,0,0,6386,6454,30,28,70,52,29,98,22,28,0,0,151,206,6537,6660
ZCTA5 02071,02071,0,0,452,449,0,0,24,24,0,0,476,473,0,0,0,0,0,0,0,0,0,0,0,0,476,473
ZCTA5 02072,02072,919,976,7158,7103,1281,1301,1487,1467,13,14,10858,10861,0,0,290,278,74,126,98,81,0,0,462,485,11320,11346
ZCTA5 02081,02081,616,699,5295,5226,563,680,871,701,0,0,7345,7306,0,0,126,121,99,104,96,87,0,45,321,357,7666,7663
ZCTA5 02090,02090,65,74,4317,4394,843,872,144,144,8,8,5377,5492,0,0,63,64,187,165,30,0,0,0,280,229,5657,5721
ZCTA5 02093,02093,218,209,3638,3543,233,250,347,393,0,0,4436,4395,0,0,113,109,68,65,92,87,0,0,273,261,4709,4656
ZCTA5 02108,02108,246,272,0,0,793,736,963,1000,0,0,2002,2008,64,63,0,0,113,220,164,182,0,0,341,465,2343,2473
ZCTA5 02109,02109,38,36,11,14,1364,1401,580,615,0,0,1993,2066,0,0,0,0,590,522,129,131,0,0,719,653,2712,2719
ZCTA5 02110,02110,19,15,48,105,1223,1087,22,18,0,0,1312,1225,14,0,0,0,244,338,0,0,0,0,258,338,1570,1563
ZCTA5 02111,02111,71,65,0,29,3236,3047,432,473,7,0,3746,3614,19,19,0,0,880,868,34,34,0,0,933,921,4679,4535
ZCTA5 02113,02113,37,42,56,41,1451,1461,2498,2516,0,0,4042,4060,26,25,0,0,131,171,420,408,0,0,577,604,4619,4664
ZCTA5 02114,02114,306,355,19,58,4892,5081,2502,2498,0,0,7719,7992,27,27,0,0,1129,1036,474,470,0,0,1630,1533,9349,9525
ZCTA5 02115,02115,200,192,30,38,6246,6150,3369,3519,0,0,9845,9899,7,6,0,0,982,1162,448,489,0,0,1437,1657,11282,11556
ZCTA5 02116,02116,379,388,351,333,6150,5925,5029,4873,6,6,11915,11525,80,74,0,0,1284,1446,1005,1065,0,0,2369,2585,14284,14110
ZCTA5 02118,02118,664,599,215,286,6312,6414,6923,6886,19,0,14133,14185,0,0,29,0,728,739,612,630,0,0,1369,1369,15502,15554
ZCTA5 02119,02119,1299,1287,1354,1314,3052,3184,6118,5956,0,23,11823,11764,60,149,98,81,345,399,575,531,15,13,1093,1173,12916,12937
ZCTA5 02120,02120,602,678,99,135,1696,1475,2164,2276,23,0,4584,4564,0,0,0,0,155,197,310,300,0,0,465,497,5049,5061
ZCTA5 02121,02121,638,664,734,859,1651,2020,7490,6820,0,0,10513,10363,49,28,38,38,38,18,946,937,0,0,1071,1021,11584,11384
ZCTA5 02122,02122,434,488,1384,1342,1139,1003,6472,6291,20,35,9449,9159,52,29,35,27,106,100,611,724,0,0,804,880,10253,10039
ZCTA5 02124,02124,1595,1669,3301,3648,2371,2278,11891,12383,8,9,19166,19987,53,47,168,160,143,149,1108,921,0,0,1472,1277,20638,21264
ZCTA5 02125,02125,691,908,1292,1340,2886,2784,8371,8696,44,31,13284,13759,98,43,38,8,347,290,1054,899,0,0,1537,1240,14821,14999
ZCTA5 02126,02126,824,647,2068,2111,1475,1865,4172,4239,0,0,8539,8862,90,95,19,5,187,221,456,426,8,8,760,755,9299,9617
ZCTA5 02127,02127,2224,1994,1515,1508,3303,3538,10364,10855,0,0,17406,17895,178,235,0,0,275,156,1343,1209,0,0,1796,1600,19202,19495
ZCTA5 02128,02128,631,695,1322,1234,3497,3752,11784,11829,74,109,17308,17619,17,19,110,236,292,338,1105,912,0,0,1524,1505,18832,19124
ZCTA5 02129,02129,1310,1375,516,513,3276,3347,4081,4149,4,5,9187,9389,9,8,0,0,313,307,306,283,0,0,628,598,9815,9987
ZCTA5 02130,02130,887,705,2237,2274,4745,4648,10007,10206,46,95,17922,17928,5,24,14,41,255,244,458,565,0,0,732,874,18654,18802
ZCTA5 02131,02131,1200,1273,4143,4291,1370,1291,5649,5594,9,0,12371,12449,82,85,131,211,69,68,470,451,0,0,752,815,13123,13264
ZCTA5 02132,02132,381,271,6798,6727,1648,1557,1941,2327,199,228,10967,11110,0,0,242,298,107,107,312,419,20,33,681,857,11648,11967
ZCTA5 02133,02133,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,5,0,0,0,0,5,5,5,18
ZCTA5 02134,02134,385,423,315,291,4407,4677,2914,2834,37,42,8058,8267,0,0,18,25,504,474,259,261,0,0,781,760,8839,9027
ZCTA5 02135,02135,720,780,1924,1924,10145,10654,7884,7674,40,40,20713,21072,31,31,164,153,839,856,332,407,0,0,1366,1447,22079,22519
ZCTA5 02136,02136,1669,1855,5362,5007,1924,1653,4635,5054,1,1,13591,13570,45,20,74,46,44,107,259,288,0,0,422,461,14013,14031
ZCTA5 02138,02138,1080,1162,2019,2078,6324,6060,5057,4917,0,22,14480,14239,68,65,266,273,777,843,554,712,0,0,1665,1893,16145,16132
ZCTA5 02139,02139,1048,997,1350,1324,5461,5622,8136,8113,0,6,15995,16062,27,26,43,141,298,185,503,516,0,0,871,868,16866,16930
ZCTA5 02140,02140,752,675,1185,1229,4208,4423,3804,3703,0,0,9949,10030,26,27,54,59,573,679,212,322,0,0,865,1087,10814,11117
ZCTA5 02141,02141,383,425,365,433,3086,3226,3235,3149,0,0,7069,7233,0,0,0,33,560,554,316,308,0,0,876,895,7945,8128
ZCTA5 02142,02142,0,0,16,19,2080,2107,44,42,0,0,2140,2168,0,0,11,9,185,268,0,0,0,0,196,277,2336,2445
ZCTA5 02143,02143,452,451,1205,1254,3125,3021,7280,7406,12,0,12074,12132,0,10,52,51,94,119,627,589,0,0,773,769,12847,12901
ZCTA5 02144,02144,386,429,1141,1223,1942,1860,7734,7705,0,0,11203,11217,64,64,110,109,0,45,414,446,0,0,588,664,11791,11881
ZCTA5 02145,02145,808,874,1445,1629,2580,2775,6743,6636,32,32,11608,11946,13,15,83,73,56,105,488,512,18,18,658,723,12266,12669
ZCTA5 02148,02148,1625,1948,6590,6686,7980,8174,9429,9281,185,230,25809,26319,244,178,232,196,514,531,909,819,0,0,1899,1724,27708,28043
ZCTA5 02149,02149,1311,1488,3291,3508,2602,2582,9763,9602,87,82,17054,17262,115,78,30,57,34,145,937,999,0,0,1116,1279,18170,18541
ZCTA5 02150,02150,544,628,1157,1198,4477,4743,7161,6905,32,48,13371,13522,0,0,0,49,202,197,533,394,0,0,735,640,14106,14162
ZCTA5 02151,02151,1274,1720,6889,6546,5399,5473,7818,7652,175,137,21555,21528,87,90,299,343,692,749,693,751,0,0,1771,1933,23326,23461
ZCTA5 02152,02152,351,259,2795,2565,1737,1654,3445,3440,0,0,8328,7918,0,0,93,98,181,151,306,300,0,0,580,549,8908,8467
ZCTA5 02155,02155,1990,1692,8522,8189,5798,5706,9028,8985,30,14,25368,24586,180,171,200,173,383,441,639,522,0,0,1402,1307,26770,25893
